                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.5846,                 1.5884,                 2.1442,                0.57823,                0.68478,                0.65226,                 0.3055,                 1.7711,                  1.491,                 2.3882,              0.0011224,              0.0011224,              0.0011224
                     36,                 1.5912,                 1.5521,                 2.1358,                0.61434,                0.71058,                0.69191,                0.31702,                 1.8791,                 1.4378,                 2.5593,              0.0011059,              0.0011059,              0.0011059
                     37,                 1.5487,                 1.5122,                 2.0486,                 0.6414,                0.67115,                  0.706,                0.33586,                 1.8128,                 1.3843,                 2.4546,              0.0010894,              0.0010894,              0.0010894
                     38,                 1.5524,                 1.5272,                 2.0894,                0.67281,                0.68743,                0.72794,                 0.3375,                 1.8001,                 1.3817,                 2.4544,              0.0010729,              0.0010729,              0.0010729
                     39,                 1.5604,                 1.4826,                 2.0951,                0.70761,                0.65768,                0.74032,                0.33211,                 1.8708,                 1.3909,                  2.528,              0.0010564,              0.0010564,              0.0010564
                     40,                 1.5418,                 1.5015,                 2.0694,                0.72682,                 0.6912,                0.70244,                0.33687,                 1.8028,                 1.3963,                 2.4826,              0.0010399,              0.0010399,              0.0010399
                     41,                 1.5068,                 1.4837,                 2.0652,                  0.763,                0.68061,                0.74868,                0.36846,                 1.9077,                 1.3943,                 2.5396,              0.0010234,              0.0010234,              0.0010234
                     42,                 1.5305,                 1.4807,                 2.0531,                0.59671,                0.71377,                0.69842,                0.33107,                 1.8023,                 1.3894,                 2.4405,              0.0010069,              0.0010069,              0.0010069
                     43,                 1.4985,                 1.4295,                 2.0336,                0.81463,                0.57351,                0.74423,                0.36363,                 1.8122,                 1.3701,                 2.4851,             0.00099036,             0.00099036,             0.00099036
                     44,                 1.5085,                  1.442,                 2.0626,                0.70048,                0.69203,                0.72771,                0.33976,                 1.8021,                 1.3508,                 2.4672,             0.00097386,             0.00097386,             0.00097386
                     45,                 1.5275,                 1.4136,                 2.0627,                0.71249,                0.71365,                0.75259,                0.37989,                 1.7847,                 1.2784,                 2.4318,             0.00095736,             0.00095736,             0.00095736
                     46,                 1.5002,                  1.353,                 2.0097,                0.70589,                0.71538,                0.76921,                0.38372,                 1.8006,                 1.3372,                 2.4419,             0.00094085,             0.00094085,             0.00094085
                     47,                 1.4794,                  1.371,                 2.0019,                0.69536,                0.64881,                0.69443,                0.33751,                 1.8402,                 1.3388,                  2.475,             0.00092435,             0.00092435,             0.00092435
                     48,                 1.5162,                 1.3783,                 2.0429,                0.70761,                0.63601,                0.72051,                0.34085,                 1.8274,                  1.391,                  2.487,             0.00090785,             0.00090785,             0.00090785
                     49,                 1.4715,                 1.3784,                 1.9822,                0.69423,                0.66156,                0.73121,                0.36837,                 1.6915,                 1.3298,                 2.3146,             0.00089134,             0.00089134,             0.00089134
                     50,                 1.4236,                 1.3133,                 1.9562,                0.68021,                0.79086,                  0.769,                0.39311,                 1.6954,                 1.2968,                 2.3227,             0.00087484,             0.00087484,             0.00087484
                     51,                 1.4289,                 1.3115,                 1.9711,                0.71483,                0.67695,                0.71089,                0.37277,                 1.7605,                 1.3546,                 2.3918,             0.00085834,             0.00085834,             0.00085834
                     52,                 1.4222,                  1.269,                  1.943,                 0.7022,                0.64508,                0.71586,                0.36732,                 1.7804,                 1.3255,                 2.4349,             0.00084184,             0.00084184,             0.00084184
                     53,                 1.4304,                 1.2753,                 1.9458,                0.67596,                0.75725,                0.77118,                0.39241,                 1.7385,                 1.2361,                 2.3793,             0.00082533,             0.00082533,             0.00082533
                     54,                 1.4384,                 1.2884,                 1.9715,                0.67735,                0.72777,                0.74881,                0.36405,                 1.7992,                 1.2384,                 2.4643,             0.00080883,             0.00080883,             0.00080883
                     55,                 1.4301,                 1.2527,                 1.9638,                0.72302,                0.69317,                0.76636,                0.39669,                  1.786,                 1.2211,                 2.4078,             0.00079233,             0.00079233,             0.00079233
                     56,                 1.3944,                 1.2392,                 1.9169,                 0.7062,                0.81602,                0.79755,                0.40345,                 1.7494,                 1.2156,                 2.3805,             0.00077582,             0.00077582,             0.00077582
                     57,                 1.3804,                  1.245,                 1.9269,                0.73434,                0.72826,                 0.7702,                0.37916,                 1.8096,                 1.2203,                 2.4262,             0.00075932,             0.00075932,             0.00075932
                     58,                 1.3547,                 1.2209,                  1.891,                0.74531,                0.68258,                0.74986,                0.39118,                 1.7784,                 1.1913,                  2.394,             0.00074282,             0.00074282,             0.00074282
                     59,                 1.3888,                 1.2179,                  1.904,                0.76641,                0.73913,                0.79102,                0.43155,                 1.6628,                 1.1411,                 2.2838,             0.00072631,             0.00072631,             0.00072631
                     60,                   1.39,                 1.1805,                  1.927,                 0.7893,                0.71739,                0.79272,                0.40415,                 1.7771,                 1.1999,                 2.3918,             0.00070981,             0.00070981,             0.00070981
                     61,                 1.3781,                 1.2018,                 1.8973,                0.66916,                0.77899,                0.74756,                0.39625,                 1.7405,                 1.1307,                 2.4031,             0.00069331,             0.00069331,             0.00069331
                     62,                 1.3714,                 1.1658,                 1.8942,                0.78568,                0.73235,                0.78253,                0.39574,                  1.706,                 1.2208,                 2.3817,              0.0006768,              0.0006768,              0.0006768
                     63,                  1.367,                 1.1943,                  1.891,                0.77038,                0.76812,                0.80281,                0.41002,                 1.7322,                 1.2236,                  2.344,              0.0006603,              0.0006603,              0.0006603
                     64,                 1.3487,                 1.1583,                 1.8772,                 0.6634,                0.68841,                0.69356,                0.38389,                 1.6517,                 1.3136,                 2.2804,              0.0006438,              0.0006438,              0.0006438
                     65,                 1.3197,                 1.1791,                 1.8329,                0.70276,                0.76141,                 0.7573,                0.40415,                 1.7744,                 1.1803,                 2.4117,             0.00062729,             0.00062729,             0.00062729
                     66,                  1.323,                 1.1801,                 1.8488,                0.75326,                0.69028,                0.72852,                0.37103,                 1.7868,                 1.2279,                 2.4736,             0.00061079,             0.00061079,             0.00061079
                     67,                 1.3427,                 1.1275,                  1.872,                0.75871,                0.69986,                0.76482,                0.37514,                 1.7434,                 1.1861,                 2.4296,             0.00059429,             0.00059429,             0.00059429
                     68,                 1.3577,                 1.1399,                  1.853,                0.70183,                0.78623,                0.77607,                0.41356,                 1.7243,                 1.1121,                  2.418,             0.00057778,             0.00057778,             0.00057778
                     69,                 1.3532,                   1.14,                 1.8619,                0.72957,                 0.7971,                  0.774,                0.41298,                 1.7456,                 1.1783,                 2.4367,             0.00056128,             0.00056128,             0.00056128
                     70,                 1.3182,                 1.1011,                 1.8474,                0.80143,                0.67754,                0.79946,                0.41537,                 1.7611,                 1.1502,                 2.3978,             0.00054478,             0.00054478,             0.00054478
                     71,                 1.3035,                 1.0814,                 1.8248,                0.78623,                0.72821,                0.80484,                0.42706,                 1.7764,                 1.0375,                 2.4563,             0.00052827,             0.00052827,             0.00052827
                     72,                  1.308,                 1.1037,                 1.8343,                0.83881,                0.73654,                0.83968,                 0.4313,                 1.7747,                 1.0678,                 2.4394,             0.00051177,             0.00051177,             0.00051177
                     73,                 1.2806,                 1.0546,                 1.8208,                0.81374,                0.73733,                0.81855,                0.40563,                 1.8571,                 1.1059,                  2.531,             0.00049527,             0.00049527,             0.00049527
                     74,                 1.2662,                 1.0443,                 1.8075,                 0.7716,                0.79663,                0.77425,                0.40144,                 1.7585,                 1.0574,                 2.4531,             0.00047876,             0.00047876,             0.00047876
                     75,                 1.2762,                 1.0379,                 1.7971,                0.79403,                0.71377,                0.77688,                0.39575,                 1.8323,                 1.1646,                 2.4903,             0.00046226,             0.00046226,             0.00046226
                     76,                 1.2729,                 1.0645,                 1.7857,                0.79859,                0.75077,                0.80716,                0.43497,                 1.7413,                 1.0831,                 2.4707,             0.00044576,             0.00044576,             0.00044576
                     77,                 1.2815,                 1.0699,                 1.8003,                0.77656,                0.78905,                0.81127,                0.41645,                 1.8013,                 1.0524,                 2.4878,             0.00042925,             0.00042925,             0.00042925
                     78,                 1.2506,                 1.0002,                 1.7678,                0.81595,                0.71014,                0.78658,                0.41755,                 1.8237,                 1.0561,                 2.4896,             0.00041275,             0.00041275,             0.00041275
                     79,                  1.262,                  1.021,                 1.7972,                0.76081,                0.73766,                0.78197,                0.41527,                 1.7071,                 1.0569,                 2.4011,             0.00039625,             0.00039625,             0.00039625
                     80,                 1.2413,                 1.0158,                 1.7735,                0.70386,                0.79075,                0.78163,                0.42767,                 1.8137,                 1.0892,                 2.5341,             0.00037974,             0.00037974,             0.00037974
                     81,                 1.2249,                0.99099,                 1.7572,                0.78283,                0.69928,                0.79256,                0.41117,                  1.773,                 1.0849,                 2.4559,             0.00036324,             0.00036324,             0.00036324
                     82,                 1.2246,                0.96185,                 1.7465,                0.73567,                0.71816,                 0.8036,                0.43563,                 1.7439,                 1.0776,                 2.4203,             0.00034674,             0.00034674,             0.00034674
                     83,                   1.22,                0.96963,                 1.7442,                0.80764,                0.73901,                0.79952,                0.40867,                  1.747,                 1.1094,                  2.428,             0.00033023,             0.00033023,             0.00033023
                     84,                  1.223,                 0.9782,                 1.7787,                0.76864,                0.76449,                0.80874,                0.42755,                 1.7225,                 1.0471,                 2.4335,             0.00031373,             0.00031373,             0.00031373
                     85,                 1.1968,                0.95706,                 1.7243,                0.77186,                0.76223,                0.83713,                0.45518,                 1.6212,                 1.0483,                 2.3274,             0.00029723,             0.00029723,             0.00029723
                     86,                 1.2183,                0.98621,                 1.7421,                0.74749,                0.80349,                0.80618,                0.42528,                  1.735,                 1.0119,                 2.4497,             0.00028072,             0.00028072,             0.00028072
                     87,                 1.1901,                0.95502,                 1.7266,                 0.7539,                0.79554,                0.80141,                0.42735,                 1.7482,                 1.0735,                  2.477,             0.00026422,             0.00026422,             0.00026422
                     88,                 1.1883,                0.92849,                 1.6966,                0.76113,                0.76428,                0.80122,                0.44291,                 1.6744,                  1.071,                 2.4034,             0.00024772,             0.00024772,             0.00024772
                     89,                 1.1856,                0.93854,                 1.7108,                0.82053,                0.75362,                0.83077,                0.43792,                 1.7146,                 1.0416,                 2.4708,             0.00023121,             0.00023121,             0.00023121
                     90,                 1.1603,                0.89645,                 1.7049,                0.82127,                0.73796,                0.82653,                0.43551,                 1.7318,                 1.0777,                 2.4712,             0.00021471,             0.00021471,             0.00021471
                     91,                  1.069,                0.69362,                 1.6645,                0.83242,                0.72101,                0.82351,                0.45376,                  1.688,                 1.0143,                 2.4194,             0.00019821,             0.00019821,             0.00019821
                     92,                 1.0183,                0.66073,                 1.6318,                   0.75,                0.84357,                0.84227,                0.42932,                  1.767,                 1.0001,                 2.5341,              0.0001817,              0.0001817,              0.0001817
                     93,                 1.0375,                0.65712,                 1.6369,                0.78981,                0.73913,                0.81031,                0.43572,                 1.7179,                0.98133,                 2.5139,              0.0001652,              0.0001652,              0.0001652
                     94,                 1.0058,                0.64421,                 1.6241,                0.78066,                0.76466,                0.80664,                0.44275,                 1.7427,                 1.0046,                 2.5496,              0.0001487,              0.0001487,              0.0001487
                     95,                 1.0034,                0.63925,                 1.6124,                0.72707,                0.89353,                0.84413,                0.45008,                 1.7033,                0.99116,                 2.5004,             0.00013219,             0.00013219,             0.00013219
                     96,                 1.0006,                0.63507,                 1.6122,                0.75969,                0.81782,                0.82302,                0.44762,                 1.6939,                 1.0076,                 2.4822,             0.00011569,             0.00011569,             0.00011569
                     97,                0.98415,                0.62803,                 1.5827,                0.72723,                0.81159,                0.82552,                0.44592,                  1.703,                 1.0119,                 2.4667,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     98,                0.96521,                0.60349,                 1.5732,                0.77376,                0.78382,                0.83997,                0.45315,                 1.6826,                 1.0131,                 2.4582,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     99,                0.94804,                0.61241,                 1.5711,                0.69639,                0.83379,                0.82288,                0.44921,                 1.6852,                 1.0296,                 2.4607,              6.618e-05,              6.618e-05,              6.618e-05
                    100,                0.94986,                0.60439,                 1.5629,                0.74104,                0.83333,                0.83506,                0.45298,                 1.6936,                 1.0121,                 2.4917,             4.9677e-05,             4.9677e-05,             4.9677e-05
